pw_number,version,disaster_name,applicant_name,applicant_abbreviation,applicant_type,FEMA_branch,sector,category,pw_description,obligated_date,latest_payment _date,obligated_amount,disbursed_amount,cost_share,project_cost,last_update_date
PA-02-PR-4339-PW-07680,0,Hurricane Maria (4339),Arecibo,,Municipality,Branch II - North,Municipalities,"Category G - Parks, Recreational, Others",130279 - Cementerio el 3,02/02/2021,12/19/2022,223770,55942,24863,248633,06/20/2023
PA-02-PR-4339-PW-07684,0,Hurricane Maria (4339),Lajas,,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",95899 - MLAJ019 - Salinas Fortuna Facilities,05/31/2021,04/28/2022,19250,32896,2139,21389,06/20/2023
PA-02-PR-4339-PW-07684,1,Hurricane Maria (4339),Lajas,,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",95899 - MLAJ019 - Salinas Fortuna Facilities,08/04/2021,04/28/2022,13645,0,1516,15161,06/20/2023
PA-02-PR-4339-PW-07687,0,Hurricane Maria (4339),Las Marías,,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",107561 - MLAS066 - Indoor Court Bucarabones,06/21/2021,07/07/2021,31113,31113,3457,34570,06/20/2023
PA-02-PR-4339-PW-07688,0,Hurricane Maria (4339),Guayanilla,,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",159504 - MGYM005-Municipal cemetery & Supplies,08/08/2021,08/22/2021,22907,22907,2545,25452,06/20/2023
PA-02-PR-4339-PW-07689,0,Hurricane Maria (4339),Arecibo,,Municipality,Branch II - North,Municipalities,"Category G - Parks, Recreational, Others",84046 - MARE082 - Cancha Palo Blanco,02/08/2021,02/23/2021,42739,42739,4749,47488,06/20/2023
PA-02-PR-4339-PW-07693,0,Hurricane Maria (4339),Lajas,,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",95873 - MLAJ016 - Paris Facilities,03/30/2021,,402325,0,44703,447028,06/20/2023
PA-02-PR-4339-PW-07693,1,Hurricane Maria (4339),Lajas,,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",95873 - MLAJ016 - Paris Facilities,08/22/2021,,37362,0,4151,41513,06/20/2023
PA-02-PR-4339-PW-07695,0,Hurricane Maria (4339),Cabo Rojo, ,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",110280 -  MCAB041 - Boqueron Baseball Park,02/10/2021,05/09/2022,28919,77338,3213,32132,06/20/2023
PA-02-PR-4339-PW-07695,1,Hurricane Maria (4339),Cabo Rojo, ,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",110280 -  MCAB041 - Boqueron Baseball Park,04/27/2022,05/09/2022,48419,0,5380,53799,06/20/2023
